opened_new_sites,objective_total_sek,late_orders_expected,overflow_total,lockers_any_overflow_share,overflow_share_of_demand,service_level,total_demand,total_served,total_unserved,sweep_flag,sweep_value,out_dir
Tumba Depot (NW_2),3415632.8180623488,2011.9162810788969,277.6997177730065,0.28888888888888886,0.0055539943554601305,0.999999999992,50000.0,49999.9999996,0.0,unserved_min_pair,0:1.0,Results\sweeps\unserved_min_pair_0_1p0
Barkarby Hub (NW_1),2752093.843430517,2027.8944000462016,0.0,0.0,0.0,0.9656640000219999,50000.0,48283.2000011,1716.800001014,unserved_min_pair,200:0.95,Results\sweeps\unserved_min_pair_200_0p95
Sollentuna FC (NW_3),3025522.981129316,1702.2600000980017,0.0,0.0,0.0,0.972720000056,50000.0,48636.0000028,1363.999999445,unserved_min_pair,400:0.95,Results\sweeps\unserved_min_pair_400_0p95
Sollentuna FC (NW_3),3298322.9810183155,1702.2600000980017,0.0,0.0,0.0,0.972720000056,50000.0,48636.0000028,1363.999999445,unserved_min_pair,600:0.90,Results\sweeps\unserved_min_pair_600_0p90
Tumba Depot (NW_2),3415632.8180660475,2011.9162810788969,277.6997178099943,0.2833333333333333,0.005553994356199886,0.999999999992,50000.0,49999.9999996,0.0,unserved_min_pair,1000:0.90,Results\sweeps\unserved_min_pair_1000_0p90
Tumba Depot (NW_2),3415632.818051047,2011.9162810788969,277.6997176599943,0.2833333333333333,0.005553994353199886,0.999999999992,50000.0,49999.9999996,0.0,unserved_min_pair,2000:0.90,Results\sweeps\unserved_min_pair_2000_0p90
