opened_new_sites,objective_total_sek,late_orders_expected,overflow_total,lockers_any_overflow_share,overflow_share_of_demand,service_level,total_demand,total_served,total_unserved,sweep_flag,sweep_value,out_dir
Tumba Depot (NW_2),3324154.7567769564,2009.328318934797,277.6997177579943,0.2833333333333333,0.0055539943551598855,1.0000000000040001,50000.0,50000.0000002,0.0,--veh-cost-per-km,10,Results\sweeps\veh_cost_per_km_10
Tumba Depot (NW_2),3415632.818051047,2011.9162810788969,277.6997176599943,0.2833333333333333,0.005553994353199886,0.999999999992,50000.0,49999.9999996,0.0,--veh-cost-per-km,20,Results\sweeps\veh_cost_per_km_20
Tumba Depot (NW_2),3506945.7357848324,2013.1173318929568,277.6997177579943,0.2833333333333333,0.0055539943551598855,1.0000000000092,50000.0,50000.00000046,0.0,--veh-cost-per-km,30,Results\sweeps\veh_cost_per_km_30
Barkarby Hub (NW_1),3639310.842485697,2093.132800000002,277.699717773,0.2833333333333333,0.00555399435546,1.0,50000.0,50000.0,0.0,--veh-cost-per-km,50,Results\sweeps\veh_cost_per_km_50
Barkarby Hub (NW_1),3778233.752839895,2093.132800000002,277.699717773,0.2833333333333333,0.00555399435546,1.0,50000.0,50000.0,0.0,--veh-cost-per-km,75,Results\sweeps\veh_cost_per_km_75
Barkarby Hub (NW_1),3917156.663194093,2093.132800000002,277.699717773,0.2833333333333333,0.00555399435546,1.0,50000.0,50000.0,0.0,--veh-cost-per-km,100,Results\sweeps\veh_cost_per_km_100
Barkarby Hub (NW_1),4195002.48390249,2093.132800000002,277.699717773,0.2833333333333333,0.00555399435546,1.0,50000.0,50000.0,0.0,--veh-cost-per-km,150,Results\sweeps\veh_cost_per_km_150
