opened_new_sites,objective_total_sek,late_orders_expected,overflow_total,lockers_any_overflow_share,overflow_share_of_demand,service_level,total_demand,total_served,total_unserved,sweep_flag,sweep_value,out_dir
Tumba Depot (NW_2),3387862.846285048,2011.9162810788969,30386.129571797,1.0,0.60772259143594,0.999999999992,50000.0,49999.9999996,0.0,--overflow-penalty,0,Results\sweeps\overflow_penalty_0
Tumba Depot (NW_2),3401747.8321725475,2011.9162810788969,277.6997177499943,0.2833333333333333,0.005553994354999886,0.999999999992,50000.0,49999.9999996,0.0,--overflow-penalty,50,Results\sweeps\overflow_penalty_50
Tumba Depot (NW_2),3415632.818051047,2011.9162810788969,277.6997176599943,0.2833333333333333,0.005553994353199886,0.999999999992,50000.0,49999.9999996,0.0,--overflow-penalty,100,Results\sweeps\overflow_penalty_100
Tumba Depot (NW_2),3526712.705235045,2011.9162810788969,277.6997178999943,0.2833333333333333,0.005553994357999886,0.999999999992,50000.0,49999.9999996,0.0,--overflow-penalty,500,Results\sweeps\overflow_penalty_500
Tumba Depot (NW_2),3665562.5641500414,2011.9162810788969,277.6997178649943,0.2833333333333333,0.0055539943572998855,0.999999999992,50000.0,49999.9999996,0.0,--overflow-penalty,1000,Results\sweeps\overflow_penalty_1000
Tumba Depot (NW_2),3943262.2820010367,2011.9162810788969,277.6997178579943,0.2833333333333333,0.005553994357159886,0.999999999992,50000.0,49999.9999996,0.0,--overflow-penalty,2000,Results\sweeps\overflow_penalty_2000
