day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
2,PL016,44.0,0.0,0.0,60.0,60.0
3,PL016,16.0,0.0,60.0,60.0,60.0
4,PL016,0.0,0.0,57.0,60.0,60.0
5,PL016,0.0,0.0,51.0,60.0,60.0
6,PL016,40.0,0.0,0.0,60.0,60.0
7,PL016,60.0,0.0,24.0,60.0,60.0
1,PL017,0.0,0.0,25.0,60.0,60.0
2,PL017,0.0,0.0,44.0,60.0,60.0
3,PL017,27.0,0.0,20.0,60.0,60.0
4,PL017,60.0,0.0,0.0,60.0,60.0
5,PL017,48.0,0.0,60.0,60.0,60.0
6,PL017,17.0,0.0,60.0,60.0,60.0
7,PL017,55.0,0.0,0.0,60.0,60.0
1,PL018,0.0,0.0,38.0,60.0,60.0
2,PL018,16.0,0.0,26.0,60.0,60.0
3,PL018,0.0,0.0,60.0,60.0,60.0
4,PL018,0.0,0.0,37.0,60.0,60.0
5,PL018,16.0,0.0,15.0,60.0,60.0
6,PL018,0.0,0.0,60.0,60.0,60.0
7,PL018,45.0,0.0,0.0,60.0,60.0
1,PL019,0.0,0.0,48.0,60.0,60.0
2,PL019,0.0,0.0,39.0,60.0,60.0
3,PL019,18.0,0.0,17.0,60.0,60.0
4,PL019,0.0,0.0,60.0,60.0,60.0
5,PL019,0.0,0.0,42.0,60.0,60.0
6,PL019,38.0,0.0,0.0,60.0,60.0
7,PL019,60.0,0.0,20.0,60.0,60.0
1,PL020,0.0,0.0,43.0,60.0,60.0
2,PL020,0.0,0.0,38.0,60.0,60.0
3,PL020,0.0,0.0,30.0,60.0,60.0
4,PL020,0.0,0.0,34.0,60.0,60.0
5,PL020,0.0,0.0,36.0,60.0,60.0
6,PL020,37.0,0.0,0.0,60.0,60.0
7,PL020,60.0,0.0,14.0,60.0,60.0
1,PL021,0.0,0.0,46.0,60.0,60.0
2,PL021,0.0,0.0,49.0,60.0,60.0
3,PL021,0.0,0.0,37.0,60.0,60.0
4,PL021,0.0,0.0,47.0,60.0,60.0
5,PL021,28.0,0.0,6.0,60.0,60.0
6,PL021,0.0,0.0,60.0,60.0,60.0
7,PL021,41.0,0.0,0.0,60.0,60.0
1,PL022,0.0,0.0,33.0,60.0,60.0
2,PL022,20.0,0.0,23.0,60.0,60.0
3,PL022,0.0,0.0,60.0,60.0,60.0
4,PL022,29.0,0.0,23.0,60.0,60.0
5,PL022,0.0,0.0,60.0,60.0,60.0
6,PL022,0.0,0.0,45.0,60.0,60.0
7,PL022,27.0,0.0,0.0,60.0,60.0
1,PL023,0.0,0.0,39.0,60.0,60.0
2,PL023,0.0,0.0,45.0,60.0,60.0
3,PL023,32.0,0.0,0.0,60.0,60.0
4,PL023,19.0,0.0,60.0,60.0,60.0
5,PL023,0.0,0.0,54.0,60.0,60.0
6,PL023,0.0,0.0,48.0,60.0,60.0
7,PL023,46.0,0.0,0.0,60.0,60.0
1,PL024,0.0,0.0,36.0,60.0,60.0
2,PL024,0.0,0.0,50.0,60.0,60.0
3,PL024,20.0,0.0,14.0,60.0,60.0
4,PL024,0.0,0.0,60.0,60.0,60.0
5,PL024,34.0,0.0,0.0,60.0,60.0
6,PL024,8.0,0.0,60.0,60.0,60.0
7,PL024,41.0,0.0,0.0,60.0,60.0
1,PL025,0.0,0.0,46.0,60.0,60.0
2,PL025,41.0,0.0,0.0,60.0,60.0
3,PL025,27.0,0.0,60.0,60.0,60.0
4,PL025,7.0,0.0,60.0,60.0,60.0
5,PL025,0.0,0.0,47.0,60.0,60.0
6,PL025,16.0,0.0,22.0,60.0,60.0
7,PL025,60.0,0.0,0.0,60.0,60.0
1,PL026,0.0,0.0,33.0,60.0,60.0
2,PL026,46.0,0.0,1.0,60.0,60.0
3,PL026,39.0,0.0,60.0,60.0,60.0
4,PL026,18.0,0.0,60.0,60.0,60.0
5,PL026,0.0,0.0,60.0,60.0,60.0
6,PL026,21.0,0.0,15.0,60.0,60.0
7,PL026,60.0,0.0,0.0,60.0,60.0
1,PL027,0.0,0.0,46.0,60.0,60.0
2,PL027,37.0,0.0,0.0,60.0,60.0
3,PL027,14.0,0.0,60.0,60.0,60.0
4,PL027,0.0,0.0,58.0,60.0,60.0
5,PL027,0.0,0.0,38.0,60.0,60.0
6,PL027,0.0,0.0,43.0,60.0,60.0
7,PL027,40.0,0.0,0.0,60.0,60.0
1,PL028,0.0,0.0,34.0,60.0,60.0
2,PL028,0.0,0.0,33.0,60.0,60.0
3,PL028,34.0,0.0,10.0,60.0,60.0
4,PL028,15.0,0.0,60.0,60.0,60.0
5,PL028,0.0,0.0,60.0,60.0,60.0
6,PL028,22.0,0.0,18.0,60.0,60.0
7,PL028,60.0,0.0,0.0,60.0,60.0
1,PL029,0.0,0.0,36.0,60.0,60.0
2,PL029,0.0,0.0,33.0,60.0,60.0
3,PL029,25.0,0.0,30.0,60.0,60.0
4,PL029,0.0,0.0,60.0,60.0,60.0
5,PL029,13.0,0.0,28.0,60.0,60.0
6,PL029,0.0,0.0,60.0,60.0,60.0
7,PL029,44.0,0.0,0.0,60.0,60.0
1,PL030,0.0,0.0,27.0,60.0,60.0
2,PL030,32.0,0.0,9.0,60.0,60.0
3,PL030,17.0,0.0,60.0,60.0,60.0
4,PL030,0.0,0.0,60.0,60.0,60.0
5,PL030,26.0,0.0,16.0,60.0,60.0
6,PL030,0.0,0.0,60.0,60.0,60.0
7,PL030,30.0,0.0,0.0,60.0,60.0
1,PL031,0.0,0.0,43.0,60.0,60.0
2,PL031,0.0,0.0,35.0,60.0,60.0
3,PL031,45.0,0.0,0.0,60.0,60.0
4,PL031,26.0,0.0,60.0,60.0,60.0
5,PL031,6.0,0.0,60.0,60.0,60.0
6,PL031,26.0,0.0,26.0,60.0,60.0
7,PL031,60.0,0.0,0.0,60.0,60.0
1,PL032,11.0,0.0,40.0,60.0,60.0
2,PL032,0.0,0.0,60.0,60.0,60.0
3,PL032,43.0,0.0,0.0,60.0,60.0
4,PL032,20.0,0.0,60.0,60.0,60.0
5,PL032,0.0,0.0,58.0,60.0,60.0
6,PL032,0.0,0.0,44.0,60.0,60.0
7,PL032,41.0,0.0,0.0,60.0,60.0
1,PL033,0.0,0.0,35.0,60.0,60.0
2,PL033,12.0,0.0,26.0,60.0,60.0
3,PL033,0.0,0.0,60.0,60.0,60.0
4,PL033,37.0,0.0,2.0,60.0,60.0
5,PL033,0.0,0.0,60.0,60.0,60.0
6,PL033,36.0,0.0,0.0,60.0,60.0
7,PL033,60.0,0.0,16.0,60.0,60.0
1,PL034,0.0,0.0,30.0,60.0,60.0
2,PL034,0.0,0.0,36.0,60.0,60.0
3,PL034,26.0,0.0,18.0,60.0,60.0
4,PL034,5.0,0.0,60.0,60.0,60.0
5,PL034,0.0,0.0,60.0,60.0,60.0
6,PL034,17.0,0.0,29.0,60.0,60.0
7,PL034,60.0,0.0,0.0,60.0,60.0
1,PL035,16.0,0.0,29.0,60.0,60.0
2,PL035,0.0,0.0,60.0,60.0,60.0
3,PL035,0.0,0.0,38.0,60.0,60.0
4,PL035,36.0,0.0,3.0,60.0,60.0
5,PL035,15.0,0.0,60.0,60.0,60.0
6,PL035,0.0,0.0,60.0,60.0,60.0
7,PL035,34.0,0.0,0.0,60.0,60.0
1,PL036,0.0,0.0,41.0,60.0,60.0
