locker_id,assigned_warehouse_id,assigned_warehouse_name,demand,km_to_assigned
PL093,NW_6,Tyresö Depot,285.0,14.430046729659827
PL094,NW_1,Barkarby Hub,253.0,13.125602693138577
PL095,NW_1,Barkarby Hub,279.0,14.213594976703167
PL096,NW_6,Tyresö Depot,301.0,14.52268571672601
PL097,NW_6,Tyresö Depot,303.0,14.124775487204504
PL098,NW_1,Barkarby Hub,273.0,14.773442964674626
PL099,NW_1,Barkarby Hub,269.0,14.829625055599628
PL100,NW_6,Tyresö Depot,281.0,14.109005261510063
PL101,NW_1,Barkarby Hub,248.0,14.906508701129663
PL102,NW_6,Tyresö Depot,271.0,14.872785171975769
PL103,NW_6,Tyresö Depot,296.0,13.930243217687579
PL104,NW_6,Tyresö Depot,269.0,13.368868848139908
PL105,NW_1,Barkarby Hub,290.0,13.797748252065297
PL106,NW_6,Tyresö Depot,276.0,15.162419498131856
PL107,NW_1,Barkarby Hub,282.0,14.182068268409713
PL108,NW_1,Barkarby Hub,270.0,13.870744748517874
PL109,NW_1,Barkarby Hub,276.0,13.943064443138924
PL110,NW_6,Tyresö Depot,292.0,14.222686549644921
PL111,NW_1,Barkarby Hub,281.0,14.569837718113602
PL112,NW_1,Barkarby Hub,286.0,13.585932548110879
PL113,NW_1,Barkarby Hub,265.0,14.150341237023316
PL114,NW_1,Barkarby Hub,278.0,14.053665519826446
PL115,NW_6,Tyresö Depot,257.0,13.670746013825768
PL116,NW_6,Tyresö Depot,283.0,14.092604151012605
PL117,NW_6,Tyresö Depot,282.0,14.647656740837961
PL118,NW_6,Tyresö Depot,270.0,13.489691350237276
PL119,NW_6,Tyresö Depot,270.0,14.844143910309572
PL120,NW_1,Barkarby Hub,270.0,14.31603087780923
PL121,NW_6,Tyresö Depot,261.0,15.189486269286046
PL122,NW_1,Barkarby Hub,258.0,11.023353136203161
PL123,NW_1,Barkarby Hub,257.0,13.204507271451513
PL124,NW_1,Barkarby Hub,244.0,13.091714711597506
PL125,NW_1,Barkarby Hub,281.0,15.178949298688147
PL126,NW_6,Tyresö Depot,260.0,14.542572380165296
PL127,NW_1,Barkarby Hub,288.0,13.978046261834429
PL128,NW_1,Barkarby Hub,300.0,12.785143340099822
PL129,NW_1,Barkarby Hub,271.0,10.488542804742128
PL130,NW_1,Barkarby Hub,273.0,7.450895209380473
PL131,NW_1,Barkarby Hub,250.0,10.678035335349183
PL132,NW_6,Tyresö Depot,275.0,11.615262663016889
PL133,NW_1,Barkarby Hub,292.0,13.730168294910861
PL134,NW_1,Barkarby Hub,288.0,8.67162384652182
PL135,NW_1,Barkarby Hub,266.0,14.331112431769252
PL136,NW_1,Barkarby Hub,269.0,14.627050005352505
PL137,NW_1,Barkarby Hub,279.0,13.876439520251946
PL138,NW_1,Barkarby Hub,264.0,13.054752789131909
PL139,NW_1,Barkarby Hub,279.0,15.293131547326789
PL140,NW_6,Tyresö Depot,264.0,15.483230522798644
PL141,NW_1,Barkarby Hub,264.0,9.87294972051489
PL142,NW_1,Barkarby Hub,275.0,14.322892862183311
PL143,NW_1,Barkarby Hub,279.0,11.08015553475741
PL144,NW_1,Barkarby Hub,277.0,7.145461186854388
PL145,NW_1,Barkarby Hub,270.0,12.510611841134578
PL146,NW_6,Tyresö Depot,273.0,11.524095229580555
PL147,NW_1,Barkarby Hub,274.0,8.310731669806254
PL148,NW_6,Tyresö Depot,286.0,12.821561066232265
