locker_id,warehouse_id,flow,km,p_late_effective,hours_per_order,expected_late,expected_late_cost,vehicle_hours_used
PL001,EW_1,287.0,25.024250936278516,0.03799999999999992,0.010843842072387358,10.905999999999977,5452.999999999989,3.1121826747751715
PL001,EW_2,0.0,76.37120360820327,0.08499999999999996,0.03309418823022142,0.0,0.0,0.0
PL001,NW_1,0.0,13.970508334958513,0.04200000000000004,0.00605388694514869,0.0,0.0,0.0
PL001,NW_2,0.0,20.323681143696973,0.05700000000000005,0.008806928495602022,0.0,0.0,0.0
PL001,NW_3,0.0,15.620492555291554,0.03500000000000003,0.0067688801072930075,0.0,0.0,0.0
PL001,NW_4,0.0,20.363386343613588,0.07900000000000007,0.008824134082232555,0.0,0.0,0.0
PL001,NW_5,0.0,20.575840855910258,0.050000000000000044,0.00891619770422778,0.0,0.0,0.0
PL001,NW_6,0.0,16.04401680606297,0.08799999999999997,0.006952407282627288,0.0,0.0,0.0
PL001,NW_7,0.0,20.416264330282893,0.040000000000000036,0.00884704787645592,0.0,0.0,0.0
PL001,NW_8,0.0,48.920392109247565,0.09499999999999997,0.021198836580673945,0.0,0.0,0.0
PL001,NW_9,0.0,16.805896383950923,0.06299999999999994,0.007282555099712067,0.0,0.0,0.0
PL001,NW_10,0.0,20.426588010818094,0.04400000000000004,0.008851521471354509,0.0,0.0,0.0
PL002,EW_1,0.0,25.098236285789916,0.03799999999999992,0.010875902390508965,0.0,0.0,0.0
PL002,EW_2,0.0,76.5542327722246,0.08499999999999996,0.033173500867963994,0.0,0.0,0.0
PL002,NW_1,0.0,14.078050637410199,0.04200000000000004,0.0061004886095444195,0.0,0.0,0.0
PL002,NW_2,0.0,20.492410049575025,0.05700000000000005,0.008880044354815845,0.0,0.0,0.0
PL002,NW_3,278.0,15.612218506331917,0.03500000000000003,0.0067652946860771645,9.73000000000001,4865.000000000005,1.8807519227294518
PL002,NW_4,0.0,20.39083467723382,0.07900000000000007,0.008836028360134656,0.0,0.0,0.0
PL002,NW_5,0.0,20.57354063412199,0.050000000000000044,0.008915200941452862,0.0,0.0,0.0
PL002,NW_6,0.0,15.977762074886687,0.08799999999999997,0.006923696899117565,0.0,0.0,0.0
PL002,NW_7,0.0,20.323596847939715,0.040000000000000036,0.008806891967440543,0.0,0.0,0.0
PL002,NW_8,0.0,49.01423866528021,0.09499999999999997,0.021239503421621425,0.0,0.0,0.0
PL002,NW_9,0.0,16.9996767526549,0.06299999999999994,0.0073665265928171235,0.0,0.0,0.0
PL002,NW_10,0.0,20.251051247217365,0.04400000000000004,0.008775455540460858,0.0,0.0,0.0
PL003,EW_1,307.0,27.063980731692745,0.03799999999999992,0.011727724983733524,11.665999999999976,5832.999999999988,3.600411570006192
PL003,EW_2,0.0,77.14812333439258,0.08499999999999996,0.03343085344490346,0.0,0.0,0.0
PL003,NW_1,0.0,15.837807399241685,0.04200000000000004,0.0068630498730047305,0.0,0.0,0.0
PL003,NW_2,0.0,19.159052260304993,0.05700000000000005,0.008302255979465496,0.0,0.0,0.0
PL003,NW_3,0.0,17.843520940529697,0.03500000000000003,0.007732192407562869,0.0,0.0,0.0
PL003,NW_4,0.0,18.149943871538344,0.07900000000000007,0.007864975677666615,0.0,0.0,0.0
PL003,NW_5,0.0,22.797954512793353,0.050000000000000044,0.009879113622210453,0.0,0.0,0.0
PL003,NW_6,0.0,14.01725942258458,0.08799999999999997,0.006074145749786652,0.0,0.0,0.0
PL003,NW_7,0.0,22.44316144340658,0.040000000000000036,0.009725369958809517,0.0,0.0,0.0
PL003,NW_8,0.0,46.92435939513041,0.09499999999999997,0.020333889071223177,0.0,0.0,0.0
PL003,NW_9,0.0,17.295234381457732,0.06299999999999994,0.007494601565298351,0.0,0.0,0.0
PL003,NW_10,0.0,19.602893363147306,0.04400000000000004,0.008494587124030499,0.0,0.0,0.0
PL004,EW_1,0.0,25.778563559527825,0.03799999999999992,0.011170710875795391,0.0,0.0,0.0
PL004,EW_2,0.0,77.16559175556256,0.08499999999999996,0.03343842309407711,0.0,0.0,0.0
PL004,NW_1,0.0,14.78135211268507,0.04200000000000004,0.006405252582163531,0.0,0.0,0.0
PL004,NW_2,0.0,20.582077657086142,0.05700000000000005,0.008918900318070662,0.0,0.0,0.0
PL004,NW_3,268.0,16.16114020388274,0.03500000000000003,0.007003160755015855,9.380000000000008,4690.000000000004,1.8768470823442491
PL004,NW_4,0.0,19.90660922871042,0.07900000000000007,0.008626197332441183,0.0,0.0,0.0
PL004,NW_5,0.0,21.133351351800894,0.050000000000000044,0.009157785585780388,0.0,0.0,0.0
PL004,NW_6,0.0,15.310300679026286,0.08799999999999997,0.006634463627578057,0.0,0.0,0.0
PL004,NW_7,0.0,20.62773549881655,0.040000000000000036,0.008938685382820504,0.0,0.0,0.0
PL004,NW_8,0.0,48.732575180602794,0.09499999999999997,0.02111744924492788,0.0,0.0,0.0
PL004,NW_9,0.0,17.54000749330773,0.06299999999999994,0.007600669913766683,0.0,0.0,0.0
PL004,NW_10,0.0,19.61265514762374,0.04400000000000004,0.008498817230636955,0.0,0.0,0.0
PL005,EW_1,0.0,26.537502002315662,0.03799999999999992,0.011499584201003454,0.0,0.0,0.0
PL005,EW_2,0.0,77.61596462426964,0.08499999999999996,0.033633584670516845,0.0,0.0,0.0
PL005,NW_1,0.0,15.504579160686045,0.04200000000000004,0.006718650969630619,0.0,0.0,0.0
PL005,NW_2,0.0,20.379030636022797,0.05700000000000005,0.008830913275609878,0.0,0.0,0.0
