day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
2,PL014,0.0,36.0,0.0,6000000.0,60000000.0
3,PL014,0.0,41.0,0.0,6000000.0,60000000.0
4,PL014,0.0,42.0,0.0,6000000.0,60000000.0
5,PL014,0.0,32.0,0.0,6000000.0,60000000.0
6,PL014,0.0,38.0,0.0,6000000.0,60000000.0
7,PL014,0.0,44.0,0.0,6000000.0,60000000.0
1,PL015,0.0,45.0,0.0,6000000.0,60000000.0
2,PL015,0.0,42.0,0.0,6000000.0,60000000.0
3,PL015,0.0,35.0,0.0,6000000.0,60000000.0
4,PL015,0.0,38.0,0.0,6000000.0,60000000.0
5,PL015,0.0,46.0,0.0,6000000.0,60000000.0
6,PL015,0.0,50.0,0.0,6000000.0,60000000.0
7,PL015,0.0,40.0,0.0,6000000.0,60000000.0
1,PL016,0.0,45.0,0.0,6000000.0,60000000.0
2,PL016,0.0,44.0,0.0,6000000.0,60000000.0
3,PL016,0.0,32.0,0.0,6000000.0,60000000.0
4,PL016,0.0,41.0,0.0,6000000.0,60000000.0
5,PL016,0.0,51.0,0.0,6000000.0,60000000.0
6,PL016,0.0,40.0,0.0,6000000.0,60000000.0
7,PL016,44.0,0.0,0.0,6000000.0,60000000.0
1,PL017,0.0,25.0,0.0,6000000.0,60000000.0
2,PL017,0.0,44.0,0.0,6000000.0,60000000.0
3,PL017,0.0,47.0,0.0,6000000.0,60000000.0
4,PL017,0.0,33.0,0.0,6000000.0,60000000.0
5,PL017,0.0,48.0,0.0,6000000.0,60000000.0
6,PL017,0.0,29.0,0.0,6000000.0,60000000.0
7,PL017,38.0,0.0,0.0,6000000.0,60000000.0
1,PL018,0.0,38.0,0.0,6000000.0,60000000.0
2,PL018,0.0,42.0,0.0,6000000.0,60000000.0
3,PL018,0.0,44.0,0.0,6000000.0,60000000.0
4,PL018,0.0,37.0,0.0,6000000.0,60000000.0
5,PL018,0.0,31.0,0.0,6000000.0,60000000.0
6,PL018,0.0,44.0,0.0,6000000.0,60000000.0
7,PL018,0.0,45.0,0.0,6000000.0,60000000.0
1,PL019,0.0,48.0,0.0,6000000.0,60000000.0
2,PL019,0.0,39.0,0.0,6000000.0,60000000.0
3,PL019,0.0,35.0,0.0,6000000.0,60000000.0
4,PL019,0.0,42.0,0.0,6000000.0,60000000.0
5,PL019,0.0,42.0,0.0,6000000.0,60000000.0
6,PL019,0.0,38.0,0.0,6000000.0,60000000.0
7,PL019,0.0,42.0,0.0,6000000.0,60000000.0
1,PL020,0.0,43.0,0.0,6000000.0,60000000.0
2,PL020,0.0,38.0,0.0,6000000.0,60000000.0
3,PL020,0.0,30.0,0.0,6000000.0,60000000.0
4,PL020,0.0,34.0,0.0,6000000.0,60000000.0
5,PL020,0.0,36.0,0.0,6000000.0,60000000.0
6,PL020,0.0,37.0,0.0,6000000.0,60000000.0
7,PL020,37.0,0.0,0.0,6000000.0,60000000.0
1,PL021,0.0,46.0,0.0,6000000.0,60000000.0
2,PL021,0.0,49.0,0.0,6000000.0,60000000.0
3,PL021,0.0,37.0,0.0,6000000.0,60000000.0
4,PL021,0.0,47.0,0.0,6000000.0,60000000.0
5,PL021,0.0,34.0,0.0,6000000.0,60000000.0
6,PL021,0.0,32.0,0.0,6000000.0,60000000.0
7,PL021,41.0,0.0,0.0,6000000.0,60000000.0
1,PL022,0.0,33.0,0.0,6000000.0,60000000.0
2,PL022,0.0,43.0,0.0,6000000.0,60000000.0
3,PL022,0.0,40.0,0.0,6000000.0,60000000.0
4,PL022,0.0,52.0,0.0,6000000.0,60000000.0
5,PL022,0.0,31.0,0.0,6000000.0,60000000.0
6,PL022,0.0,45.0,0.0,6000000.0,60000000.0
7,PL022,27.0,0.0,0.0,6000000.0,60000000.0
1,PL023,0.0,39.0,0.0,6000000.0,60000000.0
2,PL023,0.0,45.0,0.0,6000000.0,60000000.0
3,PL023,0.0,32.0,0.0,6000000.0,60000000.0
4,PL023,0.0,47.0,0.0,6000000.0,60000000.0
5,PL023,0.0,35.0,0.0,6000000.0,60000000.0
6,PL023,0.0,48.0,0.0,6000000.0,60000000.0
7,PL023,0.0,46.0,0.0,6000000.0,60000000.0
1,PL024,0.0,36.0,0.0,6000000.0,60000000.0
2,PL024,0.0,50.0,0.0,6000000.0,60000000.0
3,PL024,0.0,34.0,0.0,6000000.0,60000000.0
4,PL024,0.0,40.0,0.0,6000000.0,60000000.0
5,PL024,0.0,34.0,0.0,6000000.0,60000000.0
6,PL024,0.0,34.0,0.0,6000000.0,60000000.0
7,PL024,0.0,33.0,0.0,6000000.0,60000000.0
1,PL025,0.0,46.0,0.0,6000000.0,60000000.0
2,PL025,0.0,41.0,0.0,6000000.0,60000000.0
3,PL025,0.0,46.0,0.0,6000000.0,60000000.0
4,PL025,0.0,40.0,0.0,6000000.0,60000000.0
