day,locker_id,cleared_actual,overflow,S_end,capacity,clear_capacity
2,PL015,44.118243,0.84797297,26.996622,33.0,60.0
3,PL015,41.006757,0.0,20.989865,33.0,60.0
4,PL015,38.364865,0.0,20.625,33.0,60.0
5,PL015,39.287162,0.0,27.337838,33.0,60.0
6,PL015,44.337838,0.0,33.0,33.0,60.0
7,PL015,40.0,0.0,33.0,33.0,60.0
1,PL016,30.454545,1.5454545,31.0,31.0,60.0
2,PL016,44.703704,0.0,30.296296,31.0,60.0
3,PL016,40.767677,2.9292929,18.599327,31.0,60.0
4,PL016,38.545455,0.0,21.053872,31.0,60.0
5,PL016,41.053872,0.0,31.0,31.0,60.0
6,PL016,44.508418,0.0,26.491582,31.0,60.0
7,PL016,39.491582,0.0,31.0,31.0,60.0
1,PL017,16.193182,3.0833333,51.723485,72.0,60.0
2,PL017,32.268939,0.0,63.454545,72.0,60.0
3,PL017,38.454545,0.0,72.0,72.0,60.0
4,PL017,40.587121,0.0,64.412879,72.0,60.0
5,PL017,43.670455,0.0,68.742424,72.0,60.0
6,PL017,35.44697,0.0,62.295455,72.0,60.0
7,PL017,28.295455,0.0,72.0,72.0,60.0
1,PL018,24.747331,0.0,38.252669,70.0,60.0
2,PL018,39.309609,0.0,40.94306,70.0,60.0
3,PL018,41.259786,0.0,43.683274,70.0,60.0
4,PL018,41.010676,0.0,39.672598,70.0,60.0
5,PL018,37.476868,0.0,33.19573,70.0,60.0
6,PL018,37.348754,0.0,39.846975,70.0,60.0
7,PL018,14.846975,0.0,70.0,70.0,60.0
1,PL019,33.734266,1.2657343,29.0,29.0,60.0
2,PL019,44.79021,0.0,23.20979,29.0,60.0
3,PL019,40.248252,0.0,17.961538,29.0,60.0
4,PL019,38.685315,0.0,21.276224,29.0,60.0
5,PL019,39.91958,0.0,23.356643,29.0,60.0
6,PL019,40.573427,0.0,20.783217,29.0,60.0
7,PL019,33.783217,0.0,29.0,29.0,60.0
1,PL020,29.172549,0.0,39.827451,56.0,60.0
2,PL020,41.568627,0.0,36.258824,56.0,60.0
3,PL020,37.317647,0.0,28.941176,56.0,60.0
4,PL020,33.717647,0.0,29.223529,56.0,60.0
5,PL020,33.286275,0.0,31.937255,56.0,60.0
6,PL020,35.643137,0.0,33.294118,56.0,60.0
7,PL020,14.294118,0.0,56.0,56.0,60.0
1,PL021,32.65035,0.0,54.34965,85.0,60.0
2,PL021,47.08042,0.0,56.269231,85.0,60.0
3,PL021,43.807692,0.0,49.461538,85.0,60.0
4,PL021,44.083916,0.0,52.377622,85.0,60.0
5,PL021,39.416084,0.0,46.961538,85.0,60.0
6,PL021,37.052448,0.0,41.909091,85.0,60.0
7,PL021,0.0,0.0,82.909091,85.0,60.0
1,PL022,22.771218,0.0,38.228782,54.0,60.0
2,PL022,36.468635,0.0,44.760148,54.0,60.0
3,PL022,38.859779,0.0,45.900369,54.0,60.0
4,PL022,45.092251,0.0,52.808118,54.0,60.0
5,PL022,40.99631,0.0,42.811808,54.0,60.0
6,PL022,42.365314,0.0,45.446494,54.0,60.0
7,PL022,18.446494,0.0,54.0,54.0,60.0
1,PL023,26.578767,0.0,32.421233,53.0,60.0
2,PL023,40.869863,0.0,36.55137,53.0,60.0
3,PL023,39.037671,0.0,29.513699,53.0,60.0
4,PL023,40.815068,0.0,35.69863,53.0,60.0
5,PL023,38.482877,0.0,32.215753,53.0,60.0
6,PL023,42.873288,0.0,37.342466,53.0,60.0
7,PL023,30.342466,0.0,53.0,53.0,60.0
1,PL024,23.310345,0.0,35.689655,46.0,60.0
2,PL024,40.666667,0.0,45.022989,46.0,60.0
3,PL024,39.731801,0.0,39.291188,46.0,60.0
4,PL024,41.639847,0.0,37.651341,46.0,60.0
5,PL024,35.885057,0.0,35.766284,46.0,60.0
6,PL024,36.114943,0.0,33.651341,46.0,60.0
7,PL024,20.651341,0.0,46.0,46.0,60.0
1,PL025,29.783051,0.0,51.216949,65.0,60.0
2,PL025,44.220339,0.0,47.99661,65.0,60.0
3,PL025,44.542373,0.0,49.454237,65.0,60.0
4,PL025,42.101695,0.0,47.352542,65.0,60.0
5,PL025,42.115254,0.0,45.237288,65.0,60.0
6,PL025,39.288136,0.0,43.949153,65.0,60.0
7,PL025,22.949153,0.0,65.0,65.0,60.0
1,PL026,21.238754,8.4532872,31.307958,50.0,60.0
2,PL026,37.408304,0.0,40.899654,50.0,60.0
3,PL026,43.899654,0.0,50.0,50.0,60.0
4,PL026,46.453287,0.0,42.546713,50.0,60.0
5,PL026,44.934256,0.0,39.612457,50.0,60.0
6,PL026,39.041522,0.0,36.570934,50.0,60.0
7,PL026,25.570934,0.0,50.0,50.0,60.0
