locker_id,assigned_warehouse_id,assigned_warehouse_name,demand,served,unserved,km_to_assigned,assigned_p_late,expected_late_orders,expected_late_cost
PL001,NW_3,Sollentuna FC,287.0,284.28855699999997,2.7114428,15.620492555291554,0.03500000000000003,9.950099495000007,1990.0198990000015
PL002,NW_3,Sollentuna FC,278.0,278.0,0.0,15.612218506331917,0.03500000000000003,9.73000000000001,1946.0000000000018
PL003,NW_3,Sollentuna FC,307.0,307.0,0.0,17.843520940529697,0.03500000000000003,10.74500000000001,2149.000000000002
PL004,NW_3,Sollentuna FC,268.0,268.0,0.0,16.16114020388274,0.03500000000000003,9.380000000000008,1876.0000000000016
PL005,NW_3,Sollentuna FC,291.0,291.0,0.0,16.910155443587158,0.03500000000000003,10.18500000000001,2037.0000000000018
PL006,NW_3,Sollentuna FC,283.0,283.0,0.0,16.912284807633423,0.03500000000000003,9.905000000000008,1981.0000000000016
PL007,NW_3,Sollentuna FC,250.0,228.105263,21.8947368,16.89033111239897,0.03500000000000003,7.983684205000007,1596.7368410000015
PL008,NW_3,Sollentuna FC,253.0,253.0,0.0,18.789065640948014,0.03500000000000003,8.855000000000008,1771.0000000000016
PL009,NW_3,Sollentuna FC,275.0,275.0,0.0,16.307866719645865,0.03500000000000003,9.625000000000009,1925.0000000000018
PL010,NW_3,Sollentuna FC,313.0,313.0,0.0,16.721093660624273,0.03500000000000003,10.955000000000009,2191.000000000002
PL011,NW_3,Sollentuna FC,296.0,296.0,0.0,17.718410502494336,0.03500000000000003,10.36000000000001,2072.000000000002
PL012,NW_3,Sollentuna FC,272.0,272.0,0.0,16.52398813115458,0.03500000000000003,9.520000000000008,1904.0000000000016
PL013,NW_3,Sollentuna FC,307.0,307.0,0.0,15.89240728158398,0.03500000000000003,10.74500000000001,2149.000000000002
PL014,NW_3,Sollentuna FC,278.0,272.054054,5.9459459699999995,18.38434298422684,0.03500000000000003,9.521891890000008,1904.3783780000017
PL015,NW_3,Sollentuna FC,296.0,294.799043,1.2009569,17.63358997615176,0.03500000000000003,10.317966505000008,2063.5933010000017
PL016,NW_3,Sollentuna FC,297.0,280.772674,16.22732633,15.809312760140578,0.03500000000000003,9.827043590000008,1965.4087180000015
PL017,NW_3,Sollentuna FC,264.0,259.006135,4.993865,16.019057380049667,0.03500000000000003,9.065214725000008,1813.0429450000015
PL018,NW_3,Sollentuna FC,281.0,281.0,0.0,17.934379776054318,0.03500000000000003,9.835000000000008,1967.0000000000016
PL019,NW_3,Sollentuna FC,286.0,284.032609,1.9673913,17.48295945064529,0.03500000000000003,9.941141315000008,1988.2282630000016
PL020,NW_3,Sollentuna FC,255.0,255.0,0.0,17.042887884039576,0.03500000000000003,8.925000000000008,1785.0000000000016
PL021,NW_3,Sollentuna FC,286.0,286.0,0.0,15.43527120815203,0.03500000000000003,10.010000000000009,2002.0000000000018
PL022,NW_3,Sollentuna FC,271.0,271.0,0.0,17.83838395411636,0.03500000000000003,9.485000000000008,1897.0000000000016
PL023,NW_3,Sollentuna FC,292.0,292.0,0.0,15.513720090856689,0.03500000000000003,10.22000000000001,2044.0000000000018
PL024,NW_3,Sollentuna FC,261.0,261.0,0.0,16.055390041971446,0.03500000000000003,9.135000000000009,1827.0000000000018
PL025,NW_3,Sollentuna FC,295.0,295.0,0.0,18.667101577836938,0.03500000000000003,10.32500000000001,2065.000000000002
PL026,NW_3,Sollentuna FC,289.0,276.661616,12.338384,17.430118429427438,0.03500000000000003,9.683156560000008,1936.6313120000016
PL027,NW_3,Sollentuna FC,285.0,285.0,0.0,17.1029425743595,0.03500000000000003,9.975000000000009,1995.0000000000018
PL028,NW_3,Sollentuna FC,275.0,275.0,0.0,16.417177269751388,0.03500000000000003,9.625000000000009,1925.0000000000018
PL029,NW_3,Sollentuna FC,291.0,291.0,0.0,17.03766180274513,0.03500000000000003,10.18500000000001,2037.0000000000018
PL030,NW_3,Sollentuna FC,262.0,253.879786,8.1202139,15.653280885278965,0.03500000000000003,8.885792510000007,1777.1585020000014
PL031,NW_3,Sollentuna FC,284.0,284.0,0.0,16.61420504509954,0.03500000000000003,9.940000000000008,1988.0000000000016
PL032,NW_3,Sollentuna FC,303.0,303.0,0.0,15.911973860781384,0.03500000000000003,10.60500000000001,2121.000000000002
PL033,NW_3,Sollentuna FC,259.0,259.0,0.0,17.770069838217434,0.03500000000000003,9.065000000000008,1813.0000000000016
PL034,NW_3,Sollentuna FC,293.0,290.771089,2.22891094,16.386429856139063,0.03500000000000003,10.17698811500001,2035.3976230000019
PL035,NW_3,Sollentuna FC,284.0,284.0,0.0,18.850237208292903,0.03500000000000003,9.940000000000008,1988.0000000000016
PL036,NW_3,Sollentuna FC,281.0,281.0,0.0,16.397275458072503,0.03500000000000003,9.835000000000008,1967.0000000000016
PL037,NW_3,Sollentuna FC,308.0,290.602072,17.39792826,18.35263605678351,0.03500000000000003,10.17107252000001,2034.2145040000019
PL038,NW_3,Sollentuna FC,280.0,280.0,0.0,17.57404121692419,0.03500000000000003,9.800000000000008,1960.0000000000016
PL039,NW_3,Sollentuna FC,297.0,297.0,0.0,15.414609450140752,0.03500000000000003,10.395000000000008,2079.000000000002
PL040,NW_3,Sollentuna FC,258.0,239.51371699999999,18.4862834,16.95269507482429,0.03500000000000003,8.382980095000008,1676.5960190000014
PL041,NW_3,Sollentuna FC,261.0,254.341318,6.65868265,17.99992469261755,0.03500000000000003,8.901946130000008,1780.3892260000016
PL042,NW_3,Sollentuna FC,273.0,273.0,0.0,17.346804469281075,0.03500000000000003,9.555000000000009,1911.0000000000018
