warehouse_id,name,day,open,vehicle_hours_used,vehicle_time_budget_h,utilization,vehicles_per_warehouse,shift_hours
EW_1,Stockholm Hub,1,1,23.999999996202657,24.0,0.9999999998417773,3.0,8.0
EW_1,Stockholm Hub,2,1,23.999999996059827,24.0,0.9999999998358261,3.0,8.0
EW_1,Stockholm Hub,3,1,23.999999999511957,24.0,0.9999999999796648,3.0,8.0
EW_1,Stockholm Hub,4,1,23.999999997048075,24.0,0.9999999998770032,3.0,8.0
EW_1,Stockholm Hub,5,1,24.000000005776997,24.0,1.0000000002407081,3.0,8.0
EW_1,Stockholm Hub,6,1,23.999999998034635,24.0,0.9999999999181098,3.0,8.0
EW_1,Stockholm Hub,7,1,23.999999999831083,24.0,0.9999999999929617,3.0,8.0
EW_2,Eskilstuna FC,1,0,0.0,0.0,0.0,3.0,8.0
EW_2,Eskilstuna FC,2,0,0.0,0.0,0.0,3.0,8.0
EW_2,Eskilstuna FC,3,0,0.0,0.0,0.0,3.0,8.0
EW_2,Eskilstuna FC,4,0,0.0,0.0,0.0,3.0,8.0
EW_2,Eskilstuna FC,5,0,0.0,0.0,0.0,3.0,8.0
EW_2,Eskilstuna FC,6,0,0.0,0.0,0.0,3.0,8.0
EW_2,Eskilstuna FC,7,0,0.0,0.0,0.0,3.0,8.0
NW_1,Barkarby Hub,1,1,24.00000000350472,24.0,1.00000000014603,3.0,8.0
NW_1,Barkarby Hub,2,1,24.00000000154477,24.0,1.0000000000643654,3.0,8.0
NW_1,Barkarby Hub,3,1,23.999999996486615,24.0,0.999999999853609,3.0,8.0
NW_1,Barkarby Hub,4,1,24.000000001859156,24.0,1.000000000077465,3.0,8.0
NW_1,Barkarby Hub,5,1,24.00000000092855,24.0,1.0000000000386897,3.0,8.0
NW_1,Barkarby Hub,6,1,23.99999999732793,24.0,0.9999999998886637,3.0,8.0
NW_1,Barkarby Hub,7,1,23.999999999721467,24.0,0.9999999999883945,3.0,8.0
NW_2,Tumba Depot,1,1,15.135464911991303,24.0,0.6306443713329709,3.0,8.0
NW_2,Tumba Depot,2,1,15.530520431886965,24.0,0.6471050179952902,3.0,8.0
NW_2,Tumba Depot,3,1,14.89131380275363,24.0,0.6204714084480679,3.0,8.0
NW_2,Tumba Depot,4,1,15.65812384316823,24.0,0.6524218267986762,3.0,8.0
NW_2,Tumba Depot,5,1,13.672830689151105,24.0,0.5697012787146294,3.0,8.0
NW_2,Tumba Depot,6,1,14.995614858238522,24.0,0.6248172857599384,3.0,8.0
NW_2,Tumba Depot,7,1,14.650932445394234,24.0,0.6104555185580931,3.0,8.0
NW_3,Sollentuna FC,1,0,0.0,0.0,0.0,3.0,8.0
NW_3,Sollentuna FC,2,0,0.0,0.0,0.0,3.0,8.0
NW_3,Sollentuna FC,3,0,0.0,0.0,0.0,3.0,8.0
NW_3,Sollentuna FC,4,0,0.0,0.0,0.0,3.0,8.0
NW_3,Sollentuna FC,5,0,0.0,0.0,0.0,3.0,8.0
