locker_id,assigned_warehouse_id,assigned_warehouse_name,demand,served,unserved,km_to_assigned,assigned_p_late,expected_late_orders,expected_late_cost
PL001,NW_1,Barkarby Hub,287.0,287.0,0.0,13.970508334958513,0.04200000000000004,12.054000000000011,2410.800000000002
PL002,NW_1,Barkarby Hub,278.0,278.0,0.0,14.078050637410199,0.04200000000000004,11.67600000000001,2335.200000000002
PL003,NW_2,Tumba Depot,307.0,307.0000003,0.0,19.159052260304993,0.05700000000000005,17.499000017100016,3499.800003420003
PL004,NW_1,Barkarby Hub,268.0,268.0,0.0,14.78135211268507,0.04200000000000004,11.25600000000001,2251.200000000002
PL005,EW_1,Stockholm Hub,291.0,291.0,0.0,26.537502002315662,0.03799999999999992,11.057999999999977,2211.5999999999954
PL006,NW_1,Barkarby Hub,283.0,283.0,0.0,14.874318109117267,0.04200000000000004,11.88600000000001,2377.200000000002
PL007,EW_1,Stockholm Hub,250.0,250.0,0.0,26.795049848181296,0.03799999999999992,9.49999999999998,1899.9999999999961
PL008,NW_2,Tumba Depot,253.0,253.0,0.0,19.710434053736588,0.05700000000000005,14.421000000000014,2884.2000000000025
PL009,NW_1,Barkarby Hub,275.0,275.0,0.0,14.157891466878551,0.04200000000000004,11.55000000000001,2310.000000000002
PL010,EW_1,Stockholm Hub,313.0,313.0,0.0,26.39844490637438,0.03799999999999992,11.893999999999975,2378.799999999995
PL011,EW_1,Stockholm Hub,296.0,296.0,0.0,27.414022318060688,0.03799999999999992,11.247999999999976,2249.5999999999954
PL012,EW_1,Stockholm Hub,272.0,271.99999953,0.0,26.076840035814516,0.03799999999999992,10.33599998213998,2067.1999964279958
PL013,NW_1,Barkarby Hub,307.0,307.0,0.0,14.706359772155924,0.04200000000000004,12.89400000000001,2578.800000000002
PL014,NW_2,Tumba Depot,278.0,278.0,0.0,19.933492326740424,0.05700000000000005,15.846000000000014,3169.200000000003
PL015,EW_1,Stockholm Hub,296.0,296.0,0.0,27.27693447546183,0.03799999999999992,11.247999999999976,2249.5999999999954
PL016,NW_1,Barkarby Hub,297.0,297.0,0.0,14.549513757753692,0.04200000000000004,12.47400000000001,2494.800000000002
PL017,EW_1,Stockholm Hub,264.0,264.0,0.0,25.99720399184341,0.03799999999999992,10.031999999999979,2006.3999999999958
PL018,NW_1,Barkarby Hub,281.0,281.0,0.0,15.069577470457649,0.04200000000000004,11.80200000000001,2360.400000000002
PL019,EW_1,Stockholm Hub,286.0,286.0,0.0,27.04340817624187,0.03799999999999992,10.867999999999977,2173.5999999999954
PL020,EW_1,Stockholm Hub,255.0,255.0,0.0,26.50666083101308,0.03799999999999992,9.68999999999998,1937.999999999996
PL021,NW_1,Barkarby Hub,286.0,286.0,0.0,13.420709635178701,0.04200000000000004,12.012000000000011,2402.4000000000024
PL022,NW_1,Barkarby Hub,271.0,271.0,0.0,14.939283026544397,0.04200000000000004,11.38200000000001,2276.400000000002
PL023,NW_1,Barkarby Hub,292.0,292.0,0.0,14.131262431864847,0.04200000000000004,12.26400000000001,2452.800000000002
PL024,EW_1,Stockholm Hub,261.0,261.0,0.0,25.966184768621442,0.03799999999999992,9.91799999999998,1983.599999999996
PL025,NW_2,Tumba Depot,295.0,295.0,0.0,19.03546126922041,0.05700000000000005,16.815000000000015,3363.000000000003
PL026,EW_1,Stockholm Hub,289.0,289.0,0.0,27.073867762438883,0.03799999999999992,10.981999999999978,2196.3999999999955
PL027,NW_1,Barkarby Hub,285.0,285.0,0.0,14.576383370342691,0.04200000000000004,11.970000000000011,2394.0000000000023
PL028,EW_1,Stockholm Hub,275.0,275.0,0.0,26.468371637307598,0.03799999999999992,10.449999999999978,2089.9999999999955
PL029,NW_1,Barkarby Hub,291.0,291.0,0.0,14.764815405957872,0.04200000000000004,12.22200000000001,2444.400000000002
PL030,NW_1,Barkarby Hub,262.0,262.0,0.0,13.560871914268494,0.04200000000000004,11.00400000000001,2200.800000000002
PL031,EW_1,Stockholm Hub,284.0,284.0,0.0,26.30913034712798,0.03799999999999992,10.791999999999978,2158.3999999999955
PL032,NW_1,Barkarby Hub,303.0,303.0,0.0,14.084526762657323,0.04200000000000004,12.726000000000012,2545.200000000002
PL033,EW_1,Stockholm Hub,259.0,259.0,0.0,27.286932584634435,0.03799999999999992,9.84199999999998,1968.3999999999958
PL034,NW_1,Barkarby Hub,293.0,293.0,0.0,14.528912401959655,0.04200000000000004,12.306000000000012,2461.2000000000025
PL035,NW_2,Tumba Depot,284.0,284.0,0.0,18.71763739561178,0.05700000000000005,16.188000000000013,3237.6000000000026
PL036,EW_1,Stockholm Hub,281.0,281.0,0.0,26.22148069725064,0.03799999999999992,10.677999999999978,2135.5999999999954
PL037,NW_2,Tumba Depot,308.0,308.0,0.0,17.594421230429482,0.05700000000000005,17.556000000000015,3511.200000000003
PL038,NW_1,Barkarby Hub,280.0,280.0,0.0,14.653129278162567,0.04200000000000004,11.76000000000001,2352.0000000000023
PL039,NW_1,Barkarby Hub,297.0,297.0,0.0,13.381050961724995,0.04200000000000004,12.47400000000001,2494.800000000002
PL040,EW_1,Stockholm Hub,258.0,258.0,0.0,26.51558174573195,0.03799999999999992,9.80399999999998,1960.799999999996
PL041,EW_1,Stockholm Hub,261.0,261.0,0.0,27.67486690958006,0.03799999999999992,9.91799999999998,1983.599999999996
PL042,EW_1,Stockholm Hub,273.0,273.0,0.0,26.641384246620834,0.03799999999999992,10.37399999999998,2074.7999999999956
PL043,NW_2,Tumba Depot,243.0,243.0,0.0,18.615553384331225,0.05700000000000005,13.851000000000012,2770.200000000002
PL044,NW_1,Barkarby Hub,261.0,261.0,0.0,13.414934654813159,0.04200000000000004,10.96200000000001,2192.400000000002
PL045,EW_1,Stockholm Hub,273.0,273.0,0.0,26.61628926280876,0.03799999999999992,10.37399999999998,2074.7999999999956
PL046,NW_1,Barkarby Hub,263.0,263.0,0.0,13.39849231233961,0.04200000000000004,11.04600000000001,2209.200000000002
PL047,NW_1,Barkarby Hub,282.0,282.0,0.0,14.287164312889901,0.04200000000000004,11.84400000000001,2368.800000000002
PL048,NW_1,Barkarby Hub,274.0,274.0,0.0,14.41467844779018,0.04200000000000004,11.50800000000001,2301.600000000002
PL049,NW_1,Barkarby Hub,335.0,335.0,0.0,13.198698125523421,0.04200000000000004,14.070000000000013,2814.0000000000027
PL050,NW_1,Barkarby Hub,267.0,267.0,0.0,14.114645741275499,0.04200000000000004,11.21400000000001,2242.800000000002
PL051,EW_1,Stockholm Hub,280.0,280.0,0.0,27.305795966013722,0.03799999999999992,10.63999999999998,2127.999999999996
PL052,NW_1,Barkarby Hub,278.0,278.0,0.0,15.28788753977741,0.04200000000000004,11.67600000000001,2335.200000000002
PL053,NW_1,Barkarby Hub,293.0,293.0,0.0,15.181433941569207,0.04200000000000004,12.306000000000012,2461.2000000000025
PL054,NW_1,Barkarby Hub,274.0,274.0,0.0,14.564971184803142,0.04200000000000004,11.50800000000001,2301.600000000002
PL055,NW_2,Tumba Depot,264.0,264.0,0.0,18.214084090839506,0.05700000000000005,15.048000000000012,3009.6000000000026
PL056,NW_1,Barkarby Hub,263.0,263.0,0.0,13.708560794998158,0.04200000000000004,11.04600000000001,2209.200000000002
PL057,EW_1,Stockholm Hub,287.0,287.0,0.0,26.704628734711854,0.03799999999999992,10.905999999999977,2181.1999999999953
PL058,NW_2,Tumba Depot,287.0,287.0,0.0,18.918674660428728,0.05700000000000005,16.359000000000016,3271.8000000000034
PL059,NW_2,Tumba Depot,293.0,293.0,0.0,19.60794045698724,0.05700000000000005,16.701000000000015,3340.200000000003
PL060,EW_1,Stockholm Hub,271.0,271.0,0.0,26.959271147449325,0.03799999999999992,10.297999999999979,2059.599999999996
PL061,EW_1,Stockholm Hub,298.0,298.0,0.0,26.934356449450892,0.03799999999999992,11.323999999999977,2264.799999999995
PL062,EW_1,Stockholm Hub,299.0,299.0,0.0,26.0888123959275,0.03799999999999992,11.361999999999977,2272.3999999999955
PL063,NW_1,Barkarby Hub,280.0,280.0,0.0,14.168822316715202,0.04200000000000004,11.76000000000001,2352.0000000000023
PL064,NW_1,Barkarby Hub,264.0,264.0,0.0,14.417604373431208,0.04200000000000004,11.08800000000001,2217.600000000002
PL065,EW_1,Stockholm Hub,285.0,285.0,0.0,26.100789027094223,0.03799999999999992,10.829999999999979,2165.999999999996
PL066,NW_2,Tumba Depot,270.0,270.0,0.0,19.324635865843483,0.05700000000000005,15.390000000000013,3078.0000000000027
PL067,NW_2,Tumba Depot,279.0,279.0,0.0,19.924639840745726,0.05700000000000005,15.903000000000015,3180.600000000003
PL068,EW_1,Stockholm Hub,266.0,266.0,0.0,26.27481775188455,0.03799999999999992,10.10799999999998,2021.5999999999958
PL069,NW_1,Barkarby Hub,281.0,281.0,0.0,13.817865543861316,0.04200000000000004,11.80200000000001,2360.400000000002
PL070,NW_1,Barkarby Hub,258.0,258.0,0.0,15.208899300976428,0.04200000000000004,10.83600000000001,2167.2000000000016
PL071,NW_2,Tumba Depot,264.0,264.0,0.0,17.699865359794586,0.05700000000000005,15.048000000000012,3009.6000000000026
PL072,NW_2,Tumba Depot,270.0,270.0,0.0,19.294256457105792,0.05700000000000005,15.390000000000013,3078.0000000000027
PL073,NW_1,Barkarby Hub,252.0,252.0,0.0,14.872987868898884,0.04200000000000004,10.58400000000001,2116.800000000002
PL074,NW_1,Barkarby Hub,276.0,276.0,0.0,14.27304041874894,0.04200000000000004,11.59200000000001,2318.400000000002
PL075,NW_1,Barkarby Hub,286.0,286.0,0.0,14.780795486927884,0.04200000000000004,12.012000000000011,2402.4000000000024
PL076,NW_1,Barkarby Hub,312.0,312.0,0.0,13.55258896317224,0.04200000000000004,13.104000000000012,2620.8000000000025
PL077,NW_2,Tumba Depot,284.0,284.0,0.0,18.380120648100174,0.05700000000000005,16.188000000000013,3237.6000000000026
PL078,NW_1,Barkarby Hub,277.0,277.0,0.0,14.465142956414681,0.04200000000000004,11.634000000000011,2326.800000000002
PL079,EW_1,Stockholm Hub,261.0,261.0,0.0,26.898303185740303,0.03799999999999992,9.91799999999998,1983.599999999996
PL080,NW_2,Tumba Depot,249.0,249.0,0.0,18.838421249550702,0.05700000000000005,14.193000000000012,2838.600000000002
PL081,EW_1,Stockholm Hub,270.0,270.0,0.0,27.07573082083881,0.03799999999999992,10.259999999999978,2051.999999999996
PL082,NW_2,Tumba Depot,283.0,283.0,0.0,18.712899066172152,0.05700000000000005,16.131000000000014,3226.200000000003
