day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
3,PL017,72.0,0.0,38.454545,60.0,72.0
4,PL017,64.412879,0.0,40.587121,60.0,72.0
5,PL017,68.742424,0.0,43.670455,60.0,72.0
6,PL017,62.295455,0.0,35.44697,60.0,72.0
7,PL017,72.0,0.0,28.295455,60.0,72.0
1,PL018,38.252669,0.0,24.747331,60.0,70.0
2,PL018,40.94306,0.0,39.309609,60.0,70.0
3,PL018,43.683274,0.0,41.259786,60.0,70.0
4,PL018,39.672598,0.0,41.010676,60.0,70.0
5,PL018,33.19573,0.0,37.476868,60.0,70.0
6,PL018,39.846975,0.0,37.348754,60.0,70.0
7,PL018,70.0,0.0,14.846975,60.0,70.0
1,PL019,29.0,1.2657343,33.734266,60.0,29.0
2,PL019,23.20979,0.0,44.79021,60.0,29.0
3,PL019,17.961538,0.0,40.248252,60.0,29.0
4,PL019,21.276224,0.0,38.685315,60.0,29.0
5,PL019,23.356643,0.0,39.91958,60.0,29.0
6,PL019,20.783217,0.0,40.573427,60.0,29.0
7,PL019,29.0,0.0,33.783217,60.0,29.0
1,PL020,39.827451,0.0,29.172549,60.0,56.0
2,PL020,36.258824,0.0,41.568627,60.0,56.0
3,PL020,28.941176,0.0,37.317647,60.0,56.0
4,PL020,29.223529,0.0,33.717647,60.0,56.0
5,PL020,31.937255,0.0,33.286275,60.0,56.0
6,PL020,33.294118,0.0,35.643137,60.0,56.0
7,PL020,56.0,0.0,14.294118,60.0,56.0
1,PL021,54.34965,0.0,32.65035,60.0,85.0
2,PL021,56.269231,0.0,47.08042,60.0,85.0
3,PL021,49.461538,0.0,43.807692,60.0,85.0
4,PL021,52.377622,0.0,44.083916,60.0,85.0
5,PL021,46.961538,0.0,39.416084,60.0,85.0
6,PL021,41.909091,0.0,37.052448,60.0,85.0
7,PL021,82.909091,0.0,0.0,60.0,85.0
1,PL022,38.228782,0.0,22.771218,60.0,54.0
2,PL022,44.760148,0.0,36.468635,60.0,54.0
3,PL022,45.900369,0.0,38.859779,60.0,54.0
4,PL022,52.808118,0.0,45.092251,60.0,54.0
5,PL022,42.811808,0.0,40.99631,60.0,54.0
6,PL022,54.0,0.0,33.811808,60.0,54.0
7,PL022,54.0,0.0,27.0,60.0,54.0
1,PL023,32.421233,0.0,26.578767,60.0,53.0
2,PL023,36.55137,0.0,40.869863,60.0,53.0
3,PL023,29.513699,0.0,39.037671,60.0,53.0
4,PL023,35.69863,0.0,40.815068,60.0,53.0
5,PL023,32.215753,0.0,38.482877,60.0,53.0
6,PL023,37.342466,0.0,42.873288,60.0,53.0
7,PL023,53.0,0.0,30.342466,60.0,53.0
1,PL024,35.689655,0.0,23.310345,60.0,46.0
2,PL024,45.022989,0.0,40.666667,60.0,46.0
3,PL024,39.291188,0.0,39.731801,60.0,46.0
4,PL024,37.651341,0.0,41.639847,60.0,46.0
5,PL024,35.766284,0.0,35.885057,60.0,46.0
6,PL024,33.651341,0.0,36.114943,60.0,46.0
7,PL024,46.0,0.0,20.651341,60.0,46.0
1,PL025,51.216949,0.0,29.783051,60.0,65.0
2,PL025,47.99661,0.0,44.220339,60.0,65.0
3,PL025,49.454237,0.0,44.542373,60.0,65.0
4,PL025,47.352542,0.0,42.101695,60.0,65.0
5,PL025,45.237288,0.0,42.115254,60.0,65.0
6,PL025,43.949153,0.0,39.288136,60.0,65.0
