day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
5,PL015,33.0,13.0,0.0,60.0,33.0
6,PL015,33.0,50.0,0.0,60.0,33.0
7,PL015,33.0,40.0,0.0,60.0,33.0
1,PL016,0.7037037,62.296296,0.0,60.0,31.0
2,PL016,0.0,0.0,44.703704,60.0,31.0
3,PL016,0.0,0.0,32.0,60.0,31.0
4,PL016,0.0,41.0,0.0,60.0,31.0
5,PL016,31.0,20.0,0.0,60.0,31.0
6,PL016,31.0,40.0,0.0,60.0,31.0
7,PL016,31.0,44.0,0.0,60.0,31.0
1,PL017,0.0,71.0,0.0,60.0,72.0
2,PL017,0.0,11.731061,32.268939,60.0,72.0
3,PL017,8.5454545,0.0,38.454545,60.0,72.0
4,PL017,0.95833333,0.0,40.587121,60.0,72.0
5,PL017,48.958333,0.0,0.0,60.0,72.0
6,PL017,72.0,5.9583333,0.0,60.0,72.0
7,PL017,72.0,38.0,0.0,60.0,72.0
1,PL018,0.0,38.252669,24.747331,60.0,70.0
2,PL018,0.0,42.0,0.0,60.0,70.0
3,PL018,0.0,2.7402135,41.259786,60.0,70.0
4,PL018,0.0,37.0,0.0,60.0,70.0
5,PL018,31.0,0.0,0.0,60.0,70.0
6,PL018,70.0,5.0,0.0,60.0,70.0
7,PL018,70.0,45.0,0.0,60.0,70.0
1,PL019,0.0,64.0,0.0,60.0,29.0
2,PL019,0.0,39.0,0.0,60.0,29.0
3,PL019,0.0,0.0,35.0,60.0,29.0
4,PL019,0.0,3.3146853,38.685315,60.0,29.0
5,PL019,29.0,13.0,0.0,60.0,29.0
6,PL019,29.0,38.0,0.0,60.0,29.0
7,PL019,29.0,42.0,0.0,60.0,29.0
1,PL020,56.0,13.0,0.0,60.0,56.0
2,PL020,0.0,52.431373,41.568627,60.0,56.0
3,PL020,30.0,0.0,0.0,60.0,56.0
4,PL020,0.0,30.282353,33.717647,60.0,56.0
5,PL020,36.0,0.0,0.0,60.0,56.0
6,PL020,56.0,17.0,0.0,60.0,56.0
7,PL020,56.0,37.0,0.0,60.0,56.0
1,PL021,4.8881119,49.461538,32.65035,60.0,85.0
2,PL021,6.8076923,0.0,47.08042,60.0,85.0
3,PL021,0.0,0.0,43.807692,60.0,85.0
4,PL021,47.0,0.0,0.0,60.0,85.0
5,PL021,81.0,0.0,0.0,60.0,85.0
6,PL021,85.0,28.0,0.0,60.0,85.0
7,PL021,85.0,41.0,0.0,60.0,85.0
1,PL022,0.0,38.228782,22.771218,60.0,54.0
2,PL022,0.0,43.0,0.0,60.0,54.0
3,PL022,0.0,40.0,0.0,60.0,54.0
4,PL022,0.0,6.9077491,45.092251,60.0,54.0
5,PL022,31.0,0.0,0.0,60.0,54.0
6,PL022,54.0,22.0,0.0,60.0,54.0
7,PL022,54.0,27.0,0.0,60.0,54.0
1,PL023,0.0,32.421233,26.578767,60.0,53.0
2,PL023,4.130137,0.0,40.869863,60.0,53.0
3,PL023,0.0,36.130137,0.0,60.0,53.0
4,PL023,6.1849315,0.0,40.815068,60.0,53.0
5,PL023,41.184932,0.0,0.0,60.0,53.0
6,PL023,53.0,36.184932,0.0,60.0,53.0
7,PL023,53.0,46.0,0.0,60.0,53.0
1,PL024,0.0,35.689655,23.310345,60.0,46.0
2,PL024,9.3333333,0.0,40.666667,60.0,46.0
3,PL024,0.0,43.333333,0.0,60.0,46.0
4,PL024,40.0,0.0,0.0,60.0,46.0
5,PL024,46.0,28.0,0.0,60.0,46.0
6,PL024,46.0,34.0,0.0,60.0,46.0
7,PL024,46.0,33.0,0.0,60.0,46.0
1,PL025,0.0,81.0,0.0,60.0,65.0
2,PL025,0.0,41.0,0.0,60.0,65.0
3,PL025,1.4576271,0.0,44.542373,60.0,65.0
4,PL025,0.0,0.0,41.457627,60.0,65.0
5,PL025,40.0,0.0,0.0,60.0,65.0
6,PL025,65.0,13.0,0.0,60.0,65.0
7,PL025,65.0,44.0,0.0,60.0,65.0
1,PL026,0.0,39.761246,21.238754,60.0,50.0
2,PL026,0.0,47.0,0.0,60.0,50.0
3,PL026,0.0,9.100346,43.899654,60.0,50.0
4,PL026,39.0,0.0,0.0,60.0,50.0
5,PL026,50.0,31.0,0.0,60.0,50.0
6,PL026,50.0,36.0,0.0,60.0,50.0
7,PL026,50.0,39.0,0.0,60.0,50.0
1,PL027,0.0,89.0,0.0,60.0,99.0
2,PL027,37.0,0.0,0.0,60.0,99.0
3,PL027,0.0,33.621053,40.378947,60.0,99.0
4,PL027,0.0,44.0,0.0,60.0,99.0
5,PL027,38.0,0.0,0.0,60.0,99.0
6,PL027,81.0,0.0,0.0,60.0,99.0
7,PL027,99.0,22.0,0.0,60.0,99.0
1,PL028,0.0,71.0,0.0,60.0,72.0
2,PL028,0.0,33.0,0.0,60.0,72.0
3,PL028,0.0,7.3272727,36.672727,60.0,72.0
4,PL028,41.0,0.0,0.0,60.0,72.0
5,PL028,72.0,14.0,0.0,60.0,72.0
6,PL028,72.0,40.0,0.0,60.0,72.0
7,PL028,72.0,38.0,0.0,60.0,72.0
1,PL029,0.0,30.762887,25.237113,60.0,43.0
2,PL029,0.0,33.0,0.0,60.0,43.0
3,PL029,8.0,5.0137457,41.986254,60.0,43.0
4,PL029,43.0,0.0,0.0,60.0,43.0
5,PL029,43.0,41.0,0.0,60.0,43.0
6,PL029,43.0,47.0,0.0,60.0,43.0
7,PL029,43.0,44.0,0.0,60.0,43.0
1,PL030,0.0,41.89313,17.10687,60.0,57.0
2,PL030,0.0,9.9885496,31.01145,60.0,57.0
3,PL030,0.0,45.0,0.0,60.0,57.0
4,PL030,0.0,43.0,0.0,60.0,57.0
5,PL030,42.0,0.0,0.0,60.0,57.0
6,PL030,57.0,19.0,0.0,60.0,57.0
