warehouse_id,name,day,open,vehicle_hours_used,vehicle_time_budget_h,utilization,vehicles_per_warehouse,shift_hours
EW_1,Stockholm Hub,1,1,79.9999999988358,80.0,0.9999999999854475,10.0,8.0
EW_1,Stockholm Hub,2,1,79.99999999935388,80.0,0.9999999999919235,10.0,8.0
EW_1,Stockholm Hub,3,1,79.99999999993477,80.0,0.9999999999991847,10.0,8.0
EW_1,Stockholm Hub,4,1,80.00000000050389,80.0,1.0000000000062985,10.0,8.0
EW_1,Stockholm Hub,5,1,79.9999999997596,80.0,0.999999999996995,10.0,8.0
EW_1,Stockholm Hub,6,1,80.00000000064574,80.0,1.0000000000080718,10.0,8.0
EW_1,Stockholm Hub,7,1,80.00000000157553,80.0,1.000000000019694,10.0,8.0
EW_2,Eskilstuna FC,1,0,0.0,0.0,0.0,10.0,8.0
EW_2,Eskilstuna FC,2,0,0.0,0.0,0.0,10.0,8.0
EW_2,Eskilstuna FC,3,0,0.0,0.0,0.0,10.0,8.0
EW_2,Eskilstuna FC,4,0,0.0,0.0,0.0,10.0,8.0
EW_2,Eskilstuna FC,5,0,0.0,0.0,0.0,10.0,8.0
EW_2,Eskilstuna FC,6,0,0.0,0.0,0.0,10.0,8.0
EW_2,Eskilstuna FC,7,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,1,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,2,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,3,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,4,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,5,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,6,0,0.0,0.0,0.0,10.0,8.0
NW_1,Barkarby Hub,7,0,0.0,0.0,0.0,10.0,8.0
NW_2,Tumba Depot,1,1,7.076424823007964,80.0,0.08845531028759955,10.0,8.0
NW_2,Tumba Depot,2,1,7.468190800958887,80.0,0.09335238501198609,10.0,8.0
NW_2,Tumba Depot,3,1,6.821820288361467,80.0,0.08527275360451833,10.0,8.0
NW_2,Tumba Depot,4,1,7.689203087107549,80.0,0.09611503858884436,10.0,8.0
NW_2,Tumba Depot,5,1,5.641926460875309,80.0,0.07052408076094137,10.0,8.0
NW_2,Tumba Depot,6,1,7.02483011560226,80.0,0.08781037644502825,10.0,8.0
NW_2,Tumba Depot,7,1,6.651777652416089,80.0,0.08314722065520111,10.0,8.0
NW_3,Sollentuna FC,1,0,0.0,0.0,0.0,10.0,8.0
NW_3,Sollentuna FC,2,0,0.0,0.0,0.0,10.0,8.0
NW_3,Sollentuna FC,3,0,0.0,0.0,0.0,10.0,8.0
NW_3,Sollentuna FC,4,0,0.0,0.0,0.0,10.0,8.0
NW_3,Sollentuna FC,5,0,0.0,0.0,0.0,10.0,8.0
NW_3,Sollentuna FC,6,0,0.0,0.0,0.0,10.0,8.0
NW_3,Sollentuna FC,7,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,1,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,2,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,3,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,4,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,5,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,6,0,0.0,0.0,0.0,10.0,8.0
NW_4,Haninge Hub,7,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,1,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,2,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,3,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,4,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,5,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,6,0,0.0,0.0,0.0,10.0,8.0
NW_5,Upplands Väsby,7,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,1,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,2,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,3,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,4,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,5,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,6,0,0.0,0.0,0.0,10.0,8.0
NW_6,Tyresö Depot,7,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,1,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,2,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,3,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,4,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,5,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,6,0,0.0,0.0,0.0,10.0,8.0
NW_7,Vallentuna FC,7,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,1,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,2,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,3,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,4,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,5,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,6,0,0.0,0.0,0.0,10.0,8.0
NW_8,Nynäshamn Hub,7,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,1,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,2,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,3,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,4,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,5,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,6,0,0.0,0.0,0.0,10.0,8.0
NW_9,Ekerö Depot,7,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,1,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,2,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,3,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,4,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,5,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,6,0,0.0,0.0,0.0,10.0,8.0
NW_10,Värmdö FC,7,0,0.0,0.0,0.0,10.0,8.0
